country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccinated_percent,tested_positive
Afghanistan,Asia,66275,2812.0,56035,7428,1124.0,1669,71.0,446456.0,11244.0,39705801,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",590454.0,479372.0,111082.0,0.0,13921.0,1.52,1.23,0.29,358.0,1.4870723801794101,14.84468794237282
Albania,Europe,132209,2444.0,128732,1033,18.0,45986,850.0,696434.0,242239.0,2874990,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",759043.0,481788.0,277255.0,23655.0,17565.0,26.38,16.74,9.63,6104.0,26.401587483782553,18.98370843468297
Algeria,Africa,126860,3418.0,88346,35096,18.0,2847,77.0,230861.0,5182.0,44554310,Sputnik V,75000.0,0.0,0.0,30.0,3748.0,0.17,0.0,0.0,85.0,0.168333882849942,54.95081455941021
Andorra,Europe,13569,127.0,13234,208,12.0,175367,1641.0,193595.0,2502036.0,77375,"Oxford/AstraZeneca, Pfizer/BioNTech",32317.0,27613.0,4704.0,2829.0,1182.0,41.83,35.74,6.09,15298.0,41.76672051696284,7.00896200831633
Angola,Africa,32441,725.0,26778,4938,11.0,961,21.0,553070.0,16377.0,33770175,Oxford/AstraZeneca,859979.0,663049.0,196930.0,0.0,22570.0,2.62,2.02,0.6,687.0,2.546563646768191,5.865622796391054
Anguilla,North America,109,,107,2,,7208,,21979.0,1453445.0,15122,Oxford/AstraZeneca,13235.0,8811.0,4424.0,1421.0,331.0,88.22,58.73,29.49,22064.0,87.52149186615526,0.4959279312070613
Antigua And Barbuda,North America,1257,42.0,1192,23,2.0,12742,426.0,16700.0,169284.0,98651,Oxford/AstraZeneca,44230.0,32876.0,11354.0,225.0,1129.0,45.17,33.57,11.59,11529.0,44.8348217453447,7.526946107784431
Argentina,South America,3539484,74063.0,3106949,358472,6214.0,77680,1625.0,13187035.0,289410.0,45565172,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",11676733.0,9084600.0,2592133.0,245445.0,169014.0,25.84,20.1,5.74,3740.0,25.62644337214397,26.84063551814339
Armenia,Asia,221948,4392.0,211057,6499,,74776,1480.0,1060108.0,357157.0,2968187,"Oxford/AstraZeneca, Sinovac, Sputnik V",26562.0,26562.0,0.0,0.0,1217.0,0.9,0.9,0.0,411.0,0.8948897087683492,20.93635742773378
Aruba,North America,10917,107.0,10743,67,14.0,101866,998.0,161649.0,1508342.0,107170,Pfizer/BioNTech,113098.0,62698.0,50400.0,5076.0,2679.0,105.93,58.72,47.21,25092.0,105.53139871232622,6.753521518846389
