country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,66275,2812.0,56035,7428,1124.0,1669,71.0,446456.0,11244.0,39705801
Albania,Europe,132209,2444.0,128732,1033,18.0,45986,850.0,696434.0,242239.0,2874990
Algeria,Africa,126860,3418.0,88346,35096,18.0,2847,77.0,230861.0,5182.0,44554310
Andorra,Europe,13569,127.0,13234,208,12.0,175367,1641.0,193595.0,2502036.0,77375
Angola,Africa,32441,725.0,26778,4938,11.0,961,21.0,553070.0,16377.0,33770175
Anguilla,North America,109,,107,2,,7208,,21979.0,1453445.0,15122
Antigua And Barbuda,North America,1257,42.0,1192,23,2.0,12742,426.0,16700.0,169284.0,98651
Argentina,South America,3539484,74063.0,3106949,358472,6214.0,77680,1625.0,13187035.0,289410.0,45565172
Armenia,Asia,221948,4392.0,211057,6499,,74776,1480.0,1060108.0,357157.0,2968187
Aruba,North America,10917,107.0,10743,67,14.0,101866,998.0,161649.0,1508342.0,107170
Australia,Australia/Oceania,30019,910.0,29000,109,1.0,1165,35.0,17881036.0,694053.0,25763214
Austria,Europe,641380,10546.0,622889,7945,236.0,70853,1165.0,38877709.0,4294827.0,9052217
Azerbaijan,Asia,332454,4860.0,320708,6886,,32528,476.0,3453244.0,337872.0,10220581
Bahamas,North America,11396,222.0,10221,953,8.0,28735,560.0,94058.0,237167.0,396590
Bahrain,Asia,218047,820.0,194885,22342,186.0,124328,468.0,4489530.0,2559887.0,1753800
Bangladesh,Asia,789080,12376.0,730697,46007,1213.0,4749,74.0,5820612.0,35032.0,166150458
Barbados,North America,3995,47.0,3922,26,,13887,163.0,166237.0,577836.0,287689
Belarus,Europe,386025,2771.0,376453,6801,,40864,293.0,6211780.0,657571.0,9446547
Belgium,Europe,1048881,24842.0,935360,88679,544.0,90152,2135.0,13635474.0,1171975.0,11634613
Belize,North America,12764,323.0,12358,83,1.0,31591,799.0,128613.0,318318.0,404039
Benin,Africa,8025,101.0,7893,31,35.0,647,8.0,604310.0,48717.0,12404431
Bermuda,North America,2488,32.0,2383,73,7.0,40082,516.0,261280.0,4209305.0,62072
Bhutan,Asia,1394,1.0,1186,207,,1789,1.0,768998.0,986944.0,779171
Bolivia,South America,349653,13965.0,282010,53678,200.0,29595,1182.0,1383371.0,117089.0,11814647
Bosnia And Herzegovina,Europe,203150,9108.0,172005,22037,,62267,2792.0,954240.0,292481.0,3262566
Botswana,Africa,51620,784.0,48449,2387,1.0,21564,328.0,1111863.0,464483.0,2393767
Brazil,South America,16083573,449185.0,14492167,1142221,8318.0,75190,2100.0,49013934.0,229138.0,213906072
British Virgin Islands,North America,248,1.0,209,38,,8155,33.0,39777.0,1308024.0,30410
Brunei Darussalam,Asia,235,3.0,224,8,,533,7.0,123643.0,280236.0,441210
Bulgaria,Europe,416646,17496.0,373385,25765,402.0,60369,2535.0,2749884.0,398439.0,6901646
Burkina Faso,Africa,13415,165.0,13230,20,,627,8.0,186093.0,8692.0,21410701
Burundi,Africa,4494,6.0,773,3715,,368,,279132.0,22872.0,12204038
Cabo Verde,Africa,29334,256.0,26842,2236,23.0,52255,456.0,160181.0,285343.0,561363
Cambodia,Asia,25761,179.0,18359,7223,,1522,11.0,1113752.0,65806.0,16924754
Cameroon,Africa,77733,1239.0,72226,4268,385.0,2865,46.0,1518411.0,55965.0,27131360
Canada,North America,1359180,25231.0,1280155,53794,1344.0,35733,663.0,33979043.0,893317.0,38036939
Caribbean Netherlands,North America,1609,17.0,1573,19,,60855,643.0,8550.0,323374.0,26440
Cayman Islands,North America,574,2.0,554,18,,8643,30.0,94773.0,1427111.0,66409
Central African Republic,Africa,7079,97.0,6665,317,2.0,1443,20.0,54319.0,11076.0,4904364
Chad,Africa,4924,173.0,4729,22,,292,10.0,118413.0,7030.0,16842943
Channel Islands,Europe,4059,86.0,3956,17,,23156,491.0,454413.0,2592350.0,175290
Chile,South America,1329918,28518.0,1259080,42320,2980.0,69042,1481.0,14348965.0,744922.0,19262384
China Hong Kong Sar,Asia,11833,210.0,11553,70,2.0,1567,28.0,14841321.0,1965433.0,7551173
China Macao Sar,Asia,50,,49,1,,76,,4483.0,6821.0,657208
China,Asia,90991,4636.0,86030,325,3.0,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,3232456,84724.0,3026277,121455,6582.0,62930,1649.0,16378496.0,318860.0,51365735
Comoros,Africa,3872,146.0,3713,13,,4370,165.0,,,886035
Congo,Africa,11476,150.0,8208,3118,,2035,27.0,141948.0,25175.0,5638445
Costa Rica,North America,299219,3765.0,228589,66865,522.0,58264,733.0,1153337.0,224579.0,5135551
Cote D Ivoire,Africa,46942,298.0,46346,298,,1741,11.0,619741.0,22990.0,26957075
Croatia,Europe,353986,7903.0,342202,3881,123.0,86706,1936.0,1970997.0,482777.0,4082624
Cuba,North America,133053,877.0,125236,6940,136.0,11753,77.0,4150241.0,366615.0,11320441
Curacao,North America,12271,122.0,12087,62,18.0,74509,741.0,107257.0,651258.0,164692
Cyprus,Asia,71911,354.0,39061,32496,42.0,59177,291.0,6284278.0,5171428.0,1215192
Czech Republic,Europe,1658092,30028.0,1607706,20358,162.0,154576,2799.0,22860689.0,2131192.0,10726714
Democratic Republic Of The Congo,Africa,30863,779.0,27603,2481,,336,8.0,157353.0,1711.0,91969351
Denmark,Europe,273494,2508.0,257387,13599,20.0,47070,432.0,51129032.0,8799572.0,5810400
Djibouti,Africa,11493,153.0,11335,5,,11484,153.0,156340.0,156219.0,1000775
Dominica,North America,184,,176,8,,2550,,16134.0,223630.0,72146
Dominican Republic,North America,283729,3606.0,235814,44309,324.0,25924,329.0,1512067.0,138154.0,10944778
Ecuador,South America,418851,20193.0,354499,44159,580.0,23424,1129.0,1397765.0,78169.0,17881224
Egypt,Africa,253835,14721.0,186678,52436,90.0,2440,141.0,2715258.0,26096.0,104048165
El Salvador,North America,72220,2220.0,67510,2490,22.0,11085,341.0,968755.0,148687.0,6515391
Equatorial Guinea,Africa,8436,113.0,7801,522,7.0,5843,78.0,123169.0,85314.0,1443712
Eritrea,Africa,3932,14.0,3711,207,,1095,4.0,23693.0,6600.0,3590075
Estonia,Europe,128592,1240.0,120886,6466,31.0,96880,934.0,1392617.0,1049185.0,1327332
Ethiopia,Africa,269194,4076.0,228757,36361,495.0,2291,35.0,2687134.0,22872.0,117486892
Faeroe Islands,Europe,676,1.0,668,7,,13788,20.0,263482.0,5374003.0,49029
Falkland Islands Malvinas,South America,63,,63,0,,17647,,7258.0,2033053.0,3570
Fiji,Australia/Oceania,235,4.0,134,97,,260,4.0,88294.0,97862.0,902234
Finland,Europe,91526,932.0,46000,44594,28.0,16496,168.0,4880241.0,879576.0,5548403
France,Europe,5603666,108596.0,5199240,295830,3515.0,85680,1660.0,82691176.0,1264344.0,65402419
French Guiana,South America,22780,112.0,9995,12673,27.0,74557,367.0,246436.0,806562.0,305539
French Polynesia,Australia/Oceania,18844,141.0,18677,26,1.0,66738,499.0,26355.0,93340.0,282356
Gabon,Africa,24107,147.0,20976,2984,23.0,10609,65.0,785631.0,345744.0,2272289
Gambia,Africa,5968,175.0,5727,66,3.0,2410,71.0,76379.0,30838.0,2476758
Georgia,Asia,337573,4622.0,318599,14352,,84768,1161.0,4751763.0,1193213.0,3982326
Germany,Europe,3654201,87973.0,3408800,157428,3477.0,43490,1047.0,59197639.0,704541.0,84022978
Ghana,Africa,93620,783.0,91581,1256,7.0,2958,25.0,1143933.0,36145.0,31648450
Gibraltar,Europe,4288,94.0,4192,2,,127308,2791.0,248832.0,7387685.0,33682
Greece,Europe,389804,11772.0,352207,25825,569.0,37562,1134.0,9187642.0,885340.0,10377532
Greenland,North America,34,,32,2,,598,,23980.0,421752.0,56858
Grenada,North America,161,1.0,160,0,,1425,9.0,28684.0,253868.0,112988
Guadeloupe,North America,16530,221.0,2250,14059,29.0,41306,552.0,201479.0,503465.0,400185
Guatemala,North America,247454,8000.0,227600,11854,5.0,13589,439.0,1382567.0,75924.0,18209861
Guinea Bissau,Africa,3751,68.0,3495,188,9.0,1867,34.0,66687.0,33190.0,2009233
Guinea,Africa,22988,158.0,20699,2131,24.0,1709,12.0,447203.0,33254.0,13448183
Guyana,South America,16130,359.0,13745,2026,19.0,20419,454.0,145654.0,184387.0,789937
Haiti,North America,13906,288.0,12507,1111,,1206,25.0,68900.0,5978.0,11526222
Holy See,Europe,27,,27,0,,33624,,,,803
Honduras,North America,232672,6146.0,83625,142901,496.0,23164,612.0,700725.0,69761.0,10044617
Hungary,Europe,802088,29519.0,668820,103749,185.0,83218,3063.0,5734447.0,594956.0,9638431
Iceland,Europe,6556,29.0,6478,49,3.0,19102,84.0,635858.0,1852641.0,343217
India,Asia,26752447,303751.0,23728011,2720685,8944.0,19218,218.0,330536064.0,237439.0,1392086685
Indonesia,Asia,1775220,49328.0,1633045,92847,,6430,179.0,16080678.0,58242.0,276098715
Iran,Asia,2832518,78597.0,2333789,420132,4855.0,33344,925.0,18932896.0,222873.0,84949429
Iraq,Asia,1167940,16190.0,1081843,69907,474.0,28470,395.0,10121408.0,246726.0,41022924
Ireland,Europe,258705,4941.0,240802,12962,43.0,51877,991.0,4729538.0,948395.0,4986884
Isle Of Man,Europe,1591,29.0,1561,1,1.0,18623,339.0,44761.0,523925.0,85434
Israel,Asia,839319,6404.0,832405,510,59.0,89998,687.0,14530135.0,1558024.0,9326000
Italy,Europe,4192183,125225.0,3785866,281092,1410.0,69427,2074.0,64558486.0,1069161.0,60382401
Jamaica,North America,47959,917.0,23986,23056,13.0,16133,308.0,365701.0,123020.0,2972695
Japan,Asia,714274,12236.0,634103,67935,1304.0,5663,97.0,13744292.0,108969.0,126130429
Jordan,Asia,730546,9368.0,710608,10570,637.0,70973,910.0,7118897.0,691603.0,10293333
Kazakhstan,Asia,375014,4124.0,338730,32160,221.0,19762,217.0,11270949.0,593940.0,18976581
Kenya,Africa,168432,3059.0,114537,50836,121.0,3072,56.0,1781426.0,32495.0,54821816
Kuwait,Asia,299215,1734.0,285118,12363,153.0,69155,401.0,2525643.0,583731.0,4326725
Kyrgyzstan,Asia,102702,1757.0,96119,4826,86.0,15514,265.0,1094413.0,165323.0,6619844
Laos,Asia,1801,2.0,1074,725,,244,,233618.0,31701.0,7369437
Latvia,Europe,130945,2326.0,121123,7496,81.0,70117,1245.0,2578685.0,1380803.0,1867525
Lebanon,Asia,538518,7677.0,508930,21911,238.0,79216,1129.0,4291414.0,631265.0,6798118
Lesotho,Africa,10822,326.0,6431,4065,,5016,151.0,92169.0,42723.0,2157381
Liberia,Africa,2142,85.0,2022,35,2.0,415,16.0,102186.0,19792.0,5163061
Libya,Africa,183311,3111.0,169945,10255,,26359,447.0,1002701.0,144182.0,6954401
Liechtenstein,Europe,3000,58.0,2910,32,3.0,78481,1517.0,39109.0,1023099.0,38226
Lithuania,Europe,270849,4185.0,247662,19002,160.0,100753,1557.0,3228260.0,1200877.0,2688253
Luxembourg,Europe,69607,811.0,67162,1634,17.0,109612,1277.0,2822476.0,4444648.0,635028
Macedonia,Europe,155063,5311.0,146869,2883,25.0,74432,2549.0,776674.0,372810.0,2083298
Madagascar,Africa,40876,800.0,39255,821,232.0,1443,28.0,199504.0,7044.0,28321604
Malawi,Africa,34284,1153.0,32462,669,9.0,1752,59.0,243176.0,12427.0,19567808
Malaysia,Asia,512091,2248.0,452821,57022,681.0,15644,69.0,11206334.0,342336.0,32734939
Maldives,Asia,55924,129.0,32322,23473,90.0,101865,235.0,831911.0,1515318.0,549001
Mali,Africa,14241,514.0,9442,4285,,686,25.0,289885.0,13959.0,20766951
Malta,Europe,30504,417.0,30006,81,,68921,942.0,910953.0,2058223.0,442592
Marshall Islands,Australia/Oceania,4,,4,0,,67,,,,59546
Martinique,North America,11866,93.0,98,11675,10.0,31642,248.0,174717.0,465906.0,375005
Mauritania,Africa,19149,458.0,18266,425,14.0,4025,96.0,258095.0,54246.0,4757897
Mauritius,Africa,1293,17.0,1161,115,,1015,13.0,358675.0,281611.0,1273652
Mayotte,Africa,20176,171.0,2964,17041,6.0,72407,614.0,176919.0,634917.0,278649
Mexico,North America,2396604,221647.0,1914101,260856,4798.0,18416,1703.0,6943110.0,53352.0,130138822
Micronesia,Australia/Oceania,1,,1,0,,9,,,,116096
Moldova,Europe,254676,6075.0,246570,2031,109.0,63264,1509.0,1075720.0,267221.0,4025585
Monaco,Europe,2501,32.0,2460,9,2.0,63332,810.0,51953.0,1315599.0,39490
Mongolia,Asia,53100,253.0,46748,6099,99.0,15969,76.0,2887622.0,868403.0,3325209
Montenegro,Europe,99248,1574.0,96608,1066,60.0,158004,2506.0,403862.0,642952.0,628137
Montserrat,North America,20,1.0,19,0,,4004,200.0,1408.0,281882.0,4995
Morocco,Africa,517023,9122.0,505228,2673,95.0,13861,245.0,6439348.0,172637.0,37299913
Mozambique,Africa,70590,831.0,69098,661,21.0,2204,26.0,545343.0,17026.0,32030485
Myanmar,Asia,143234,3216.0,132194,7824,,2617,59.0,2610747.0,47698.0,54734927
Namibia,Africa,52946,765.0,49213,2968,52.0,20508,296.0,421684.0,163331.0,2581773
Nepal,Asia,513241,6346.0,391348,115547,,17338,214.0,2916468.0,98522.0,29602256
Netherlands,Europe,1626232,17544.0,1427520,181168,586.0,94721,1022.0,13797380.0,803635.0,17168709
New Caledonia,Australia/Oceania,125,,58,67,,434,,32654.0,113405.0,287942
New Zealand,Australia/Oceania,2668,26.0,2615,27,,533,5.0,2106971.0,421217.0,5002100
Nicaragua,North America,7193,185.0,4225,2783,,1074,28.0,,,6694696
Niger,Africa,5383,192.0,5034,157,2.0,215,8.0,105124.0,4208.0,24979964
Nigeria,Africa,166019,2067.0,156476,7476,11.0,788,10.0,2002653.0,9506.0,210666804
Norway,Europe,122414,781.0,88952,32681,21.0,22424,143.0,5507549.0,1008891.0,5459014
Oman,Asia,210364,2265.0,193950,14149,238.0,40287,434.0,1550000.0,296839.0,5221681
Pakistan,Asia,903599,20308.0,820374,62917,4763.0,4021,90.0,12837818.0,57133.0,224699957
Panama,North America,374121,6331.0,361903,5887,105.0,85511,1447.0,2584254.0,590668.0,4375139
Papua New Guinea,Australia/Oceania,14910,154.0,13801,955,,1639,17.0,110286.0,12123.0,9097502
Paraguay,South America,332971,8360.0,274920,49691,564.0,46179,1159.0,1237620.0,171641.0,7210500
Peru,South America,1925289,68053.0,1720665,136571,2669.0,57677,2039.0,12482876.0,373959.0,33380341
Philippines,Asia,1179812,19951.0,1109226,50635,1819.0,10641,180.0,12998227.0,117229.0,110878477
Poland,Europe,2865622,72928.0,2624724,167970,1138.0,75791,1929.0,15506202.0,410113.0,37809584
Portugal,Europe,845224,17017.0,805692,22515,58.0,83108,1673.0,11431350.0,1124011.0,10170139
Qatar,Asia,215443,544.0,210942,3957,150.0,76730,194.0,1995242.0,710606.0,2807805
Reunion,Africa,23566,176.0,21709,1681,31.0,26155,195.0,102720.0,114006.0,901007
Romania,Europe,1075543,29941.0,1032888,12714,590.0,56244,1566.0,8865980.0,463632.0,19122895
Russia,Europe,5001505,118482.0,4617762,265261,2300.0,34259,812.0,135700000.0,929514.0,145990337
Rwanda,Africa,26688,349.0,25097,1242,2.0,2016,26.0,1406017.0,106221.0,13236715
Saint Barthelemy,North America,1005,1.0,462,542,,101474,101.0,26385.0,2664075.0,9904
Saint Helena,Africa,2,,2,0,,328,,,,6093
Saint Kitts And Nevis,North America,50,,45,5,,934,,14423.0,269418.0,53534
Saint Lucia,North America,4945,77.0,4626,242,1.0,26820,418.0,44255.0,240026.0,184376
Saint Martin,North America,1915,12.0,1399,504,7.0,48787,306.0,27588.0,702843.0,39252
Saint Pierre And Miquelon,North America,25,,25,0,,4334,,5736.0,994280.0,5769
Saint Vincent And The Grenadines,North America,1973,12.0,1827,134,2.0,17734,108.0,48004.0,431481.0,111254
Samoa,Australia/Oceania,3,,3,0,,15,,,,199589
San Marino,Europe,5087,90.0,4974,23,4.0,149640,2647.0,64241.0,1889719.0,33995
Sao Tome And Principe,Africa,2338,37.0,2284,17,,10495,166.0,13418.0,60232.0,222773
Saudi Arabia,Asia,440914,7249.0,424690,8975,1344.0,12492,205.0,18526414.0,524890.0,35295803
Senegal,Africa,41090,1132.0,39758,200,9.0,2398,66.0,507483.0,29617.0,17134692
Serbia,Europe,709939,6777.0,687707,15455,66.0,81547,778.0,4077396.0,468348.0,8705910
Seychelles,Africa,9764,35.0,7826,1903,,98736,354.0,21504.0,217454.0,98890
Sierra Leone,Africa,4121,79.0,3113,929,,507,10.0,153257.0,18872.0,8120945
Singapore,Asia,61824,32.0,61294,498,3.0,10494,5.0,11064019.0,1878014.0,5891340
Sint Maarten,North America,2366,27.0,2250,89,2.0,54631,623.0,28642.0,661341.0,43309
Slovakia,Europe,388835,12292.0,373183,3360,125.0,71189,2250.0,2798074.0,512280.0,5462003
Slovenia,Europe,251690,4353.0,241735,5602,96.0,121052,2094.0,1255096.0,603646.0,2079193
Solomon Islands,Australia/Oceania,20,,20,0,,28,,4500.0,6412.0,701811
Somalia,Africa,14632,767.0,6685,7180,,898,47.0,127435.0,7825.0,16285695
South Africa,Africa,1635465,55802.0,1539395,40268,546.0,27270,930.0,11354930.0,189331.0,59974013
South Korea,Asia,136467,1934.0,126427,8106,144.0,2660,38.0,9553613.0,186199.0,51308579
South Sudan,Africa,10652,115.0,10462,75,,942,10.0,159088.0,14065.0,11310525
Spain,Europe,3636453,79620.0,3356272,200561,1655.0,77750,1702.0,48928535.0,1046131.0,46770949
Sri Lanka,Asia,164201,1210.0,128607,34384,,7640,56.0,3277624.0,152495.0,21493336
State Of Palestine,Asia,305201,3459.0,297201,4541,59.0,58619,664.0,1800908.0,345893.0,5206551
Sudan,Africa,35189,2568.0,27949,4672,,786,57.0,232965.0,5205.0,44756902
Suriname,South America,13111,249.0,10785,2077,32.0,22173,421.0,58861.0,99543.0,591314
Swaziland,Africa,18551,672.0,17833,46,3.0,15844,574.0,204816.0,174928.0,1170860
Sweden,Europe,1058341,14366.0,929372,114603,253.0,104215,1415.0,9762557.0,961316.0,10155405
Switzerland,Europe,687353,10776.0,631406,45171,151.0,78906,1237.0,7460843.0,856482.0,8711028
Syria,Asia,24117,1734.0,21549,834,,1349,97.0,103566.0,5793.0,17877429
Taiwan,Asia,4322,23.0,1133,3166,,181,,610865.0,25607.0,23855252
Tajikistan,Asia,13308,90.0,13218,0,,1368,9.0,,,9727619
Tanzania,Africa,509,21.0,183,305,7.0,8,,,,61239899
Thailand,Asia,132213,806.0,86100,45307,1258.0,1890,12.0,8124896.0,116142.0,69956283
Timor Leste,Asia,5637,13.0,3082,2542,,4204,10.0,88932.0,66331.0,1340740
Togo,Africa,13374,125.0,12278,971,,1583,15.0,328704.0,38897.0,8450733
Trinidad And Tobago,North America,20017,375.0,11480,8162,21.0,14262,267.0,165776.0,118113.0,1403532
Tunisia,Africa,335345,12236.0,295789,27320,445.0,28112,1026.0,1430192.0,119895.0,11928725
Turkey,Asia,5186487,46268.0,5024313,115906,1843.0,60912,543.0,52377678.0,615144.0,85147010
Turks And Caicos Islands,North America,2408,17.0,2379,12,2.0,61455,434.0,76225.0,1945359.0,39183
Uganda,Africa,43734,356.0,42880,498,24.0,930,8.0,1079370.0,22957.0,47017963
UK,Europe,4462538,127721.0,4301451,33366,123.0,65429,1873.0,174655862.0,2560786.0,68204010
Ukraine,Europe,2183855,49436.0,1957561,176858,177.0,50205,1136.0,10022457.0,230408.0,43498771
United Arab Emirates,Asia,556107,1651.0,536050,18406,,55629,165.0,48607275.0,4862312.0,9996742
Uruguay,South America,265098,3871.0,227531,33696,495.0,76080,1111.0,2113069.0,606425.0,3484471
USA,North America,33896660,604087.0,27502255,5790318,6980.0,101873,1816.0,473304856.0,1422476.0,332733197
Uzbekistan,Asia,98657,680.0,94143,3834,23.0,2910,20.0,1377915.0,40646.0,33900519
Vanuatu,Australia/Oceania,4,1.0,3,0,,13,3.0,23000.0,73363.0,313508
Venezuela,South America,223345,2513.0,206921,13911,316.0,7874,89.0,3359014.0,118426.0,28363937
Viet Nam,Asia,5308,43.0,2721,2544,,54,,3091540.0,31508.0,98118710
Wallis And Futuna Islands,Australia/Oceania,445,7.0,438,0,1.0,40228,633.0,18986.0,1716326.0,11062
Western Sahara,Africa,10,1.0,8,1,,16,2.0,,,610353
Yemen,Asia,6658,1307.0,3245,2106,23.0,219,43.0,57977.0,1907.0,30408590
Zambia,Africa,93201,1268.0,91156,777,51.0,4947,67.0,1511541.0,80232.0,18839654
Zimbabwe,Africa,38682,1586.0,36453,643,1.0,2569,105.0,459484.0,30520.0,15055310
